"#Time along first column, position along first row. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time (day)/Position,0,30,60,90,120,150,180,210,240,270,300,330,360,390,420,450,480,510,540,570,600,630,660,690,720,750,780,810,840,870,900,930,960
0.75,0.98184392,0.975347705,0.961792155,0.943758965,0.924761385,0.90917674,0.897497385,0.88746546,0.88076032,0.873613505,0.86752003,0.862152305,0.85214723,0.84061687,0.82800098,0.812722285,0.78636553,0.70395327,0.456296775,0.132726535,0.011385085,0.00056852,0,0,0,0,0,0,0,0,0,0,0
0.7625,0.98182469,0.975372045,0.961837865,0.94382249,0.924830265,0.909251115,0.8976151,0.88752438,0.880909825,0.87371302,0.86773847,0.86227595,0.85231856,0.84078137,0.82822383,0.812913835,0.78708669,0.706064155,0.461681825,0.136539995,0.01188103,0.000602005,0,0,0,0,0,0,0,0,0,0,0
0.775,0.98181283,0.975400205,0.961837535,0.943890195,0.92489804,0.909378265,0.897632215,0.88760643,0.881039755,0.873841745,0.86782217,0.862451255,0.852443835,0.8410072,0.828292165,0.81327821,0.787746685,0.70810974,0.467021435,0.14017168,0.012258835,0.000602185,1.66E-05,0,0,0,0,0,0,0,0,0,0
0.7875,0.981809415,0.97541289,0.96188539,0.943939095,0.924956655,0.90952582,0.89778531,0.887601195,0.88121029,0.87396262,0.86804924,0.86255496,0.852603575,0.841169145,0.828424545,0.813673225,0.788340695,0.710218495,0.472175645,0.14399019,0.0129557,0.000668295,1.66E-05,0,0,0,0,0,0,0,0,0,0
0.8,0.98180345,0.975459995,0.961902975,0.94396024,0.92506484,0.909608425,0.897836155,0.88775687,0.881382585,0.874099125,0.86800468,0.86271881,0.85278703,0.84132527,0.828621475,0.813981625,0.788887475,0.7122284,0.477601835,0.14760127,0.013630595,0.00070157,1.66E-05,0,0,0,0,0,0,0,0,0,0
0.8125,0.98177579,0.975511975,0.9619249,0.94399949,0.925194885,0.90965269,0.897997355,0.887839535,0.881480225,0.87423027,0.86815978,0.862810305,0.852971895,0.84148608,0.82884398,0.81421289,0.789558275,0.714206015,0.482862035,0.1514523,0.01431819,0.000701495,1.66E-05,0,0,0,0,0,0,0,0,0,0
0.825,0.98177648,0.975484715,0.961986375,0.94406537,0.92519764,0.909773265,0.89815473,0.887857215,0.88164061,0.874350995,0.868379845,0.862838425,0.85312494,0.84174716,0.828865185,0.81458715,0.790188815,0.71603961,0.48772685,0.155401715,0.01484901,0.000734985,1.66E-05,0,0,0,0,0,0,0,0,0,0
0.8375,0.981804405,0.975486515,0.961963525,0.94414316,0.925269475,0.90987195,0.89818479,0.888028855,0.881732455,0.874472865,0.868496315,0.863007165,0.853214095,0.841903215,0.82905737,0.814857375,0.79078712,0.71794019,0.492782595,0.15974821,0.01557618,0.000735055,1.66E-05,0,0,0,0,0,0,0,0,0,0
0.85,0.981809895,0.97544865,0.961979745,0.94421862,0.925348155,0.909910605,0.8982866,0.888164665,0.881847595,0.874568295,0.868645735,0.863097035,0.853355365,0.8421806,0.829239015,0.8151391,0.791469705,0.719846305,0.49775297,0.16394486,0.016136015,0.00071895,6.62E-05,0,0,0,0,0,0,0,0,0,0
0.8625,0.98178767,0.975443095,0.96203536,0.944296855,0.92538255,0.91004066,0.898323165,0.88829279,0.88197576,0.874657695,0.86877786,0.863243035,0.853444935,0.842509575,0.8294276,0.815360305,0.79206172,0.7217958,0.502574235,0.16810684,0.01664236,0.00081881,6.62E-05,0,0,0,0,0,0,0,0,0,0
0.875,0.98182834,0.97546205,0.962049305,0.944372485,0.925415985,0.910083475,0.898452155,0.888455945,0.88200817,0.874821845,0.8688834,0.86337425,0.85346793,0.8427191,0.82964912,0.81567146,0.792620275,0.723624955,0.507539945,0.172330585,0.017595795,0.000836135,8.29E-05,0,0,0,0,0,0,0,0,0,0
0.8875,0.981843805,0.97547699,0.962047915,0.94444172,0.92548239,0.910104225,0.898617125,0.888495925,0.88209107,0.875034495,0.86907758,0.86344725,0.853588035,0.842934645,0.829795635,0.8159743,0.793092785,0.72540137,0.512549075,0.17672496,0.018103775,0.000836865,8.29E-05,0,0,0,0,0,0,0,0,0,0
0.9,0.98183614,0.97544961,0.96208572,0.94451268,0.925573175,0.91021241,0.898741605,0.888613665,0.882221495,0.87510684,0.86931304,0.86361685,0.85368955,0.84307813,0.83005955,0.81623623,0.793635055,0.727170335,0.51741494,0.181195055,0.018849125,0.000919685,9.97E-05,0,0,0,0,0,0,0,0,0,0
0.9125,0.981853135,0.97545487,0.96206525,0.9446036,0.92567071,0.91032069,0.89888582,0.888740615,0.882307325,0.87530161,0.86942059,0.863802825,0.853787405,0.84319276,0.83029494,0.816498095,0.794208715,0.728852765,0.52257452,0.18560574,0.01971053,0.0009527,9.98E-05,0,0,0,0,0,0,0,0,0,0
0.925,0.98184265,0.975491535,0.96204666,0.94466156,0.92576809,0.91041489,0.899018275,0.88879022,0.88245201,0.875390595,0.86952572,0.86398601,0.853824565,0.843298055,0.83049296,0.816782835,0.794771175,0.730667405,0.527729675,0.190136235,0.020587165,0.001019605,9.96E-05,0,0,0,0,0,0,0,0,0,0
0.9375,0.98185005,0.975548985,0.96205977,0.944718135,0.925893465,0.91041456,0.899150075,0.888917095,0.882570475,0.875506415,0.869711615,0.8641034,0.85383565,0.843571835,0.83067133,0.81693781,0.79535971,0.73231054,0.53262209,0.19421902,0.02141142,0.001053225,9.95E-05,0,0,0,0,0,0,0,0,0,0
0.95,0.981892615,0.97555219,0.96205501,0.94479863,0.925960455,0.91048221,0.899263055,0.888999945,0.88272021,0.875691585,0.86983081,0.864128785,0.854136845,0.84372581,0.83083364,0.81715251,0.79603328,0.733995215,0.537466525,0.19894176,0.02206708,0.001202605,0.00011597,0,0,0,0,0,0,0,0,0,0
0.9625,0.981923615,0.97555598,0.962087715,0.944828755,0.92599284,0.91058505,0.899395185,0.889098035,0.882816525,0.8757995,0.8699917,0.86425312,0.85423148,0.84388399,0.83109392,0.81741911,0.79653438,0.73569187,0.542042385,0.20358464,0.02303922,0.00125319,0.00011593,0,0,0,0,0,0,0,0,0,0
0.975,0.98193833,0.97553872,0.962139755,0.944876255,0.926061075,0.910686445,0.8995317,0.8891353,0.882881265,0.87595886,0.870106625,0.86441656,0.85436388,0.843979385,0.831278375,0.817643615,0.79703661,0.73713296,0.546954745,0.20848893,0.024146775,0.00127095,0.00014908,0,0,0,0,0,0,0,0,0,0
0.9875,0.98195296,0.975586615,0.962118755,0.94492459,0.926164165,0.91077262,0.89965055,0.889217345,0.88299936,0.876081685,0.87022389,0.8645306,0.85452541,0.844126095,0.831512295,0.81788061,0.79748727,0.73864261,0.55177046,0.213336305,0.0251469,0.00130443,0.00014895,0,0,0,0,0,0,0,0,0,0
